ID,Name,Location,Level / unit,Cuisine / type,Halal,Vegetarian,Opening hours,place_id,name,rating,reviews,price_range,address,main_category,categories,website,phone,hours,status,is_temporarily_closed,is_permanently_closed,link,query
V030,Mad Roaster at SHHK,"Singapore Hokkien Huay Kuan building, ",SHHK-01-01,Coffee / cafÃ©,Not stated,Not stated,"Mon to Fri: 9am to 4pm; Sat, Sun & PH: Closed",,Mad Roaster at SHHK,,,,"Singapore Hokkien Huay Kuan building, ",,,,,,No Google Maps listing found,,,,
V031,Malay Stall at South Spine (from Canteen 11),Near Nanyang Auditorium,SS1-01-05A,Malay,Not stated,Not stated,"Sat, Sun and PH: Closed; Mon to Fri: 8am to 3pm",,Malay Stall at South Spine (from Canteen 11),,,,Near Nanyang Auditorium,,,,,,No Google Maps listing found,,,,
V032,Man Le Chinese Restaurant,"Campus Clubhouse, 50 Nanyang View, Basement level, Singapore 639667 (CCH-01-ML)",Basement,Chinese,No,Not stated,Daily: 11.30am to 3pm; 5.30pm to 10pm,ChIJcxMkaAAP2jERp8y0swu5yQ0,Man Le Restaurant,3,7,,"50 Nanyang Ave, Singapore 639798",Chinese restaurant,"[""Chinese restaurant""]",,,[],,,,https://www.google.com/maps/place/Man+Le+Restaurant/data=!4m7!3m6!1s0x31da0f0068241373:0xdc9b90bb3b4cca7!8m2!3d1.3508877!4d103.6878715!16s%2Fg%2F11zd5cb922!19sChIJcxMkaAAP2jERp8y0swu5yQ0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,man le chinese restaurant ntu campus clubhouse
V033,McDonald's,"North Spine Plaza, 76 Nanyang Drive, N2.1-01-08, Singapore 637331",N2.1-01-08,Fast food,Yes â€” halal certified,Vegetarian option(s) available,Mon to Sat: 7am to 10pm; Sun & PH: 10am to 8pm,ChIJk2hjGKAP2jERtZYCT0TDDOc,McDonald's,3.6,485,$1-10,"Block N 2, 1,#01 76 Nanyang Dr, #08 Nanyang Technological University, 637331",Fast food restaurant,"[""Fast food restaurant"",""Delivery Restaurant""]",https://www.mcdonalds.com.sg/,6777 3777,"[{""day"":""Monday"",""times"":[""7 am-10 pm""]},{""day"":""Tuesday"",""times"":[""7 am-10 pm""]},{""day"":""Wednesday"",""times"":[""7 am-10 pm""]},{""day"":""Thursday"",""times"":[""7 am-10 pm""]},{""day"":""Friday"",""times"":[""7 am-10 pm""]},{""day"":""Saturday"",""times"":[""7 am-10 pm""]},{""day"":""Sunday"",""times"":[""10 am-8 pm""]}]",,,,"https://www.google.com/maps/place/McDonald's/@1.3470369,103.68034,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0fa018636893:0xe70cc3444f0296b5!8m2!3d1.3470369!4d103.68034!16s%2Fg%2F1td19y6n?entry=ttu&g_ep=EgoyMDI2MDkwMS4wIKXMDSoASAFQAw%3D%3D",mcdonald's ntu north spine
V034,Mr Bean,"North Spine Plaza, 50 Nanyang Avenue, NS3-01-16, Singapore 639798",NS3-01-16,Soy-based snacks / beverages,Yes â€” halal certified,Vegetarian option(s) available,"Mon to Fri: 7am to 4pm; Sat, Sun & PH: Closed",ChIJH09-DXUP2jERIUTA2E3_hGU,Mr Bean (Nanyang Technological University),3.6,25,,"50 Nanyang Avenue, NS3-01-16, NTU, NTU North Spine Plaza, 639798",Dessert shop,"[""Dessert shop""]",https://www.mrbean.com.sg/,,"[{""day"":""Monday"",""times"":[""7:30 am-7:30 pm""]},{""day"":""Tuesday"",""times"":[""7:30 am-7:30 pm""]},{""day"":""Wednesday"",""times"":[""7:30 am-7:30 pm""]},{""day"":""Thursday"",""times"":[""7:30 am-7:30 pm""]},{""day"":""Friday"",""times"":[""7:30 am-7:30 pm""]},{""day"":""Saturday"",""times"":[""Closed""]},{""day"":""Sunday"",""times"":[""7:30 am-7:30 pm""]}]",,,,"https://www.google.com/maps/place/Mr+Bean+(Nanyang+Technological+University)/@1.3468508,103.6809041,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0f750d7e4f1f:0x6584ff4dd8c04421!8m2!3d1.3468508!4d103.6809041!16s%2Fg%2F1tdnbrsc?entry=ttu&g_ep=EgoyMDI2MDkwMS4wIKXMDSoASAFQAw%3D%3D",mr bean ntu north spine
V035,Nanyang Crescent Food Court,"Saraca Hall, 38 Nanyang Crescent, Blk 23, #051 - 058, Singapore 636866 (SRH-01-FC)",SRH-01-FC,Food court / multiple cuisines,Yes â€” halal certified,Vegetarian option(s) available,Daily: 7am to 10pm,ChIJO7Gg2qcP2jERWWHW3XzkcJE,Nanyang Crescent Halls,4.3,180,,"38 Nanyang Cres, Singapore 636866",Student dormitory,"[""Student dormitory""]",,6904 7117,[],,,,https://www.google.com/maps/place/Nanyang+Crescent+Halls/data=!4m7!3m6!1s0x31da0fa7daa0b13b:0x9170e47cddd66159!8m2!3d1.3547858!4d103.6843901!16s%2Fg%2F11f38vxz8d!19sChIJO7Gg2qcP2jERWWHW3XzkcJE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,malay stall at south spine ntu nanyang auditorium
V036,North Hill Food Court (Colour Box),"60 Nanyang Crescent, Blk 21A, #02-02, Singapore 636957 (NH-02-02)",2,Food court / multiple cuisines,Muslim-operated (not stated as certified),Not stated,Daily: 7am to 10pm,ChIJx4AsC6YP2jER5icWmWMexhU,Colour Box North Hill Food Court,3.7,207,$1-10,"60 Nanyang Cres, Blk 21A, #02-02, Singapore 636957",Food court,"[""Food court""]",,8508 0232,"[{""day"":""Monday"",""times"":[""7 am-9:30 pm""]},{""day"":""Tuesday"",""times"":[""7 am-9:30 pm""]},{""day"":""Wednesday"",""times"":[""7 am-9:30 pm""]},{""day"":""Thursday"",""times"":[""7 am-9:30 pm""]},{""day"":""Friday"",""times"":[""7 am-9:30 pm""]},{""day"":""Saturday"",""times"":[""7 am-9:30 pm""]},{""day"":""Sunday"",""times"":[""7 am-9:30 pm""]}]",,,,https://www.google.com/maps/place/Colour+Box+North+Hill+Food+Court/data=!4m7!3m6!1s0x31da0fa60b2c80c7:0x15c61e63991627e6!8m2!3d1.353995!4d103.6879461!16s%2Fg%2F11c5hhxkk2!19sChIJx4AsC6YP2jER5icWmWMexhU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,food court @ nie ntu
V037,North Spine Food Court & International Food Court (Koufu),"North Spine Plaza, 76 Nanyang Drive, NS2.1-02-01/03, Singapore 637331",Not separately stated,Food court / multiple cuisines,Not stated,Vegetarian option(s) available,Mon to Fri: 7am to 8.30pm; Sat: 7am to 2.30pm; Sun & PH: Closed,ChIJ-c0P3AoP2jERmgAasZYsPdM,Koufu,3.8,595,$1-10,"76 Nanyang Drive, #02-03, NTU, North Spine Plaza, 637331",Food court,"[""Food court""]",https://www.koufu.com.sg/,,"[{""day"":""Monday"",""times"":[""7 am-8 pm""]},{""day"":""Tuesday"",""times"":[""7 am-8 pm""]},{""day"":""Wednesday"",""times"":[""7 am-8 pm""]},{""day"":""Thursday"",""times"":[""7 am-8 pm""]},{""day"":""Friday"",""times"":[""7 am-8 pm""]},{""day"":""Saturday"",""times"":[""7 am-2 pm""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/Koufu/data=!4m7!3m6!1s0x31da0f0adc0fcdf9:0xd33d2c96b11a009a!8m2!3d1.3471445!4d103.6801027!16s%2Fg%2F1tgdfh5z!19sChIJ-c0P3AoP2jERmgAasZYsPdM?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,chateraise unmanned store ntu north spine
V038,Paik's Bibim,North Spine Plaza,NS3-01-15,Korean,No,Vegetarian option(s) available,Mon to Fri: 10am to 9pm; Sat: 10am to 8pm; Sun & PH: Closed,ChIJlbaBdqAP2jERlLl3ZDlREHY,Paik's Bibim,4,101,$10-20,"50 Nanyang Dr, #01-15 Nanyang Technological University, North Spine, Singapore 639798",Korean restaurant,"[""Korean restaurant"",""Asian fusion restaurant"",""Korean grocery store""]",,6262 0567,"[{""day"":""Monday"",""times"":[""10 am-9 pm""]},{""day"":""Tuesday"",""times"":[""10 am-9 pm""]},{""day"":""Wednesday"",""times"":[""10 am-9 pm""]},{""day"":""Thursday"",""times"":[""10 am-9 pm""]},{""day"":""Friday"",""times"":[""10 am-9 pm""]},{""day"":""Saturday"",""times"":[""10 am-5 pm""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/Paik's+Bibim/data=!4m7!3m6!1s0x31da0fa07681b695:0x761051396477b994!8m2!3d1.3471893!4d103.6807181!16s%2Fg%2F11bwyxtrfh!19sChIJlbaBdqAP2jERlLl3ZDlREHY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,paik's bibim ntu north spine
V039,Pasta Express,North Spine Plaza,NS3-01-17,Italian / pasta,No,Vegetarian option(s) available,Mon to Fri: 10.30am to 7.30pm; Sat: 10.30am to 1.30pm; Sun & PH: Closed,ChIJ9QtvrYAP2jERS6YveQv6c8k,Pasta Express,2.8,64,$1-10,"50 Nanyang Ave, #01-17, Singapore 639798",Pasta shop,"[""Pasta shop""]",,9025 8148,"[{""day"":""Monday"",""times"":[""10 am-7:30 pm""]},{""day"":""Tuesday"",""times"":[""10 am-7:30 pm""]},{""day"":""Wednesday"",""times"":[""10 am-7:30 pm""]},{""day"":""Thursday"",""times"":[""10 am-7:30 pm""]},{""day"":""Friday"",""times"":[""10 am-7:30 pm""]},{""day"":""Saturday"",""times"":[""Closed""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/Pasta+Express/data=!4m7!3m6!1s0x31da0f80ad6f0bf5:0xc973fa0b792fa64b!8m2!3d1.3467315!4d103.6804394!16s%2Fg%2F11m44wh39t!19sChIJ9QtvrYAP2jERS6YveQv6c8k?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,pasta express ntu north spine
