ID,Name,Location,Level / unit,Cuisine / type,Halal,Vegetarian,Opening hours,place_id,name,rating,reviews,price_range,address,main_category,categories,website,phone,hours,status,is_temporarily_closed,is_permanently_closed,link,query
V040,PEN & INC,North Spine Plaza,NS2.1-01-01,CafÃ© / casual dining,No,Vegetarian option(s) available,"Mon to Fri: 11am to 9pm; Sat, Sun & PH: Closed",ChIJMfzHEP8Z2jER47wjTEBYUl8,PEN & INC NTU Restaurant & Bar,4.7,938,$20-30,"76 Nanyang Drive, Blk N2.1 NTU North Spine Plaza, #01-01, Singapore 637331",Restaurant,"[""Restaurant"",""Bar"",""Event venue"",""Western restaurant""]",https://www.penandinc.sg/,6513 5780,"[{""day"":""Monday"",""times"":[""11 am-9 pm""]},{""day"":""Tuesday"",""times"":[""11 am-9 pm""]},{""day"":""Wednesday"",""times"":[""11 am-9 pm""]},{""day"":""Thursday"",""times"":[""11 am-9 pm""]},{""day"":""Friday"",""times"":[""11 am-9 pm""]},{""day"":""Saturday"",""times"":[""Closed""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/PEN+%26+INC+NTU+Restaurant+%26+Bar/data=!4m7!3m6!1s0x31da19ff10c7fc31:0x5f5258404c23bce3!8m2!3d1.34748!4d103.6797845!16s%2Fg%2F11c6mbk74t!19sChIJMfzHEP8Z2jER47wjTEBYUl8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,pen & inc ntu north spine
V041,Pioneer Food Court,"Pioneer Hall, 162 Nanyang Crescent, PH-01-FC, Singapore 637033",PH-01-FC,Food court / multiple cuisines,Muslim-owned (not stated as certified),Vegetarian option(s) available,Mon to Fri: 8am to 9pm; Sat & Sun: 8am to 8pm,ChIJKyjXrpgP2jERUNPqH9ZRfXY,Pioneer Hall Food Court,4.1,71,$1-10,"156 Nanyang Cres, Singapore 637125",Food court,"[""Food court""]",https://www.burpple.com/pioneer-hall-canteen,,"[{""day"":""Monday"",""times"":[""7 am-9 pm""]},{""day"":""Tuesday"",""times"":[""7 am-9 pm""]},{""day"":""Wednesday"",""times"":[""7 am-9 pm""]},{""day"":""Thursday"",""times"":[""7 am-9 pm""]},{""day"":""Friday"",""times"":[""7 am-9 pm""]},{""day"":""Saturday"",""times"":[""7 am-9 pm""]},{""day"":""Sunday"",""times"":[""7 am-9 pm""]}]",,,,https://www.google.com/maps/place/Pioneer+Hall+Food+Court/data=!4m7!3m6!1s0x31da0f98aed7282b:0x767d51d61fead350!8m2!3d1.3460722!4d103.6883292!16s%2Fg%2F11bwym305y!19sChIJKyjXrpgP2jERUNPqH9ZRfXY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1,food court 1 ntu hall 1
V042,Popeyes,North Spine Plaza,N2.1-01-04,Fried chicken / fast food,Yes â€” halal certified,Not stated,"Mon to Fri: 10am to 9pm; Sat, Sun & PH: 11am to 9pm",ChIJv8e3PQAP2jERGkGOUw8FKfs,Popeyes NTU,4.7,498,$10-20,"76 Nanyang Dr, #01-04, Singapore 637331",Fast food restaurant,"[""Fast food restaurant""]",http://www.popeyes.com.sg/,6370 1151,"[{""day"":""Monday"",""times"":[""10 am-9 pm""]},{""day"":""Tuesday"",""times"":[""10 am-9 pm""]},{""day"":""Wednesday"",""times"":[""10 am-9 pm""]},{""day"":""Thursday"",""times"":[""10 am-9 pm""]},{""day"":""Friday"",""times"":[""10 am-9 pm""]},{""day"":""Saturday"",""times"":[""10 am-9 pm""]},{""day"":""Sunday"",""times"":[""10 am-9 pm""]}]",,,,https://www.google.com/maps/place/Popeyes+NTU/data=!4m7!3m6!1s0x31da0f003db7c7bf:0xfb29050f538e411a!8m2!3d1.3475479!4d103.6800739!16s%2Fg%2F11w1q3pbhw!19sChIJv8e3PQAP2jERGkGOUw8FKfs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,chateraise unmanned store ntu north spine
V043,QQ Rice,North Spine Plaza,NS3-01-22,Chinese rice bowls,Not stated,Vegetarian option(s) available,Mon to Fri: 8am to 7pm; Sat: 8am to 5pm; Sun & PH: Closed,ChIJ1QdC9HUP2jER1hgyzMnf5m0,QQ Rice,4,3,,"50 Nanyang Ave, NS3-01-22 Nanyang Technological University, North Spine, Plaza 639798",Health food store,"[""Health food store""]",https://www.qqgroup.sg/qqrice,8595 5592,"[{""day"":""Monday"",""times"":[""9:30 am-7:30 pm""]},{""day"":""Tuesday"",""times"":[""9:30 am-7:30 pm""]},{""day"":""Wednesday"",""times"":[""9:30 am-7:30 pm""]},{""day"":""Thursday"",""times"":[""9:30 am-7:30 pm""]},{""day"":""Friday"",""times"":[""9:30 am-7:30 pm""]},{""day"":""Saturday"",""times"":[""9:30 am-4:30 pm""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/QQ+Rice/data=!4m7!3m6!1s0x31da0f75f44207d5:0x6de6dfc9cc3218d6!8m2!3d1.3467053!4d103.6806344!16s%2Fg%2F11bwyxn3wz!19sChIJ1QdC9HUP2jER1hgyzMnf5m0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,qq rice ntu north spine
V044,Quad Cafe (SBS),"School of Biological Sciences, SBS-B1N-QUAD, 60 Nanyang Drive, Singapore 637551",Not separately stated,Food court / multiple cuisines,Yes â€” halal certified,Vegetarian option(s) available,Mon to Fri: 7am to 8pm; Sat: 7am to 2pm; Sun & PH: Closed,ChIJA9UJwHQP2jERYLBJl1x6BZ4,Quad Cafe,3.9,371,$1-10,"60 Nanyang Dr, B1 The Quad Cafe, School of Biological Sciences, Singapore 637551",Food court,"[""Food court""]",https://maps.ntu.edu.sg/m?q=The%20Quad%20Cafe&fs=m,9392 2703,"[{""day"":""Monday"",""times"":[""9 am-3 pm"",""5:30-9 pm""]},{""day"":""Tuesday"",""times"":[""9 am-3 pm"",""5:30-9 pm""]},{""day"":""Wednesday"",""times"":[""9 am-3 pm"",""5:30-9 pm""]},{""day"":""Thursday"",""times"":[""9 am-3 pm"",""5:30-9 pm""]},{""day"":""Friday"",""times"":[""9 am-3 pm"",""5:30-9 pm""]},{""day"":""Saturday"",""times"":[""Closed""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/Quad+Cafe/data=!4m7!3m6!1s0x31da0f74c009d503:0x9e057a5c9749b060!8m2!3d1.3449145!4d103.6798075!16s%2Fg%2F1wbrv8zd!19sChIJA9UJwHQP2jERYLBJl1x6BZ4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,malay stall at south spine ntu nanyang auditorium
V045,South Spine Food Court (Foodies' Clan),"South Spine, 50 Nanyang Avenue, SS3-B4, Singapore 639798",SS3-B4,Food court / multiple cuisines,Not stated,Vegetarian option(s) available,Daily: 7.30am to 9pm; 9 - 10 Aug 2026: Closed,ChIJH11rzncP2jERPkVOmyQO708,Foodies' Clan(r) @ NTU South Spine Canteen B,5,4,,"50 Nanyang Avenue, Canteen, B South Spine, 639798",Food court,"[""Food court""]",https://www.foodiesclan.sg/,,"[{""day"":""Monday"",""times"":[""7:30 am-9 pm""]},{""day"":""Tuesday"",""times"":[""7:30 am-9 pm""]},{""day"":""Wednesday"",""times"":[""7:30 am-9 pm""]},{""day"":""Thursday"",""times"":[""7:30 am-9 pm""]},{""day"":""Friday"",""times"":[""7:30 am-9 pm""]},{""day"":""Saturday"",""times"":[""7:30 am-9 pm""]},{""day"":""Sunday"",""times"":[""7:30 am-9 pm""]}]",,,,https://www.google.com/maps/place/Foodies'+Clan%C2%AE+%40+NTU+South+Spine+Canteen+B/data=!4m7!3m6!1s0x31da0f77ce6b5d1f:0x4fef0e249b4e453e!8m2!3d1.3438269!4d103.6831335!16s%2Fg%2F11zd7540q_!19sChIJH11rzncP2jERPkVOmyQO708?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,food court @ nie ntu
V046,Starbucks,North Spine Plaza,N2.1-01-06,Coffee / cafÃ©,Not stated,Not stated,"School Term - Mon to Fri: 7am to 10pm; School Vacation - Mon to Fri, Eve of PH: 7.30am to 9pm; Sat, Sun & PH: 8am to 8pm",ChIJLYXb6QoP2jEREIcl2M5ksCo,Starbucks - NTU,4,152,$1-10,"76 Nanyang Drive 01-06 NTU North Spine, 637331",Cafe,"[""Cafe""]",,6910 1245,"[{""day"":""Monday"",""times"":[""7 am-10 pm""]},{""day"":""Tuesday"",""times"":[""7 am-10 pm""]},{""day"":""Wednesday"",""times"":[""7 am-10 pm""]},{""day"":""Thursday"",""times"":[""7 am-10 pm""]},{""day"":""Friday"",""times"":[""7 am-10 pm""]},{""day"":""Saturday"",""times"":[""8 am-8 pm""]},{""day"":""Sunday"",""times"":[""8 am-8 pm""]}]",,,,https://www.google.com/maps/place/Starbucks+-+NTU/data=!4m7!3m6!1s0x31da0f0ae9db852d:0x2ab064ced8258710!8m2!3d1.3470891!4d103.6798051!16s%2Fg%2F1pty54phd!19sChIJLYXb6QoP2jEREIcl2M5ksCo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,chateraise unmanned store ntu north spine
V047,Subway,North Spine Plaza,N2.1-01-07,Sandwiches,Yes â€” halal certified,Vegetarian option(s) available,"Sat, Sun & PH: 11am to 7pm; Mon to Fri: 8am to 9pm",ChIJAQAA0AoP2jER8DtlIT9tOCc,Subway,2.8,53,$1-10,"76 Nanyang Dr, Block N, 76 Nanyang Dr, #01-07 2.1, Singapore 637331",Fast food restaurant,"[""Fast food restaurant""]",https://www.subway.com/en-SG/,6462 5238,"[{""day"":""Monday"",""times"":[""8 am-6 pm""]},{""day"":""Tuesday"",""times"":[""8 am-6 pm""]},{""day"":""Wednesday"",""times"":[""8 am-6 pm""]},{""day"":""Thursday"",""times"":[""8 am-6 pm""]},{""day"":""Friday"",""times"":[""8 am-6 pm""]},{""day"":""Saturday"",""times"":[""11 am-7 pm""]},{""day"":""Sunday"",""times"":[""11 am-7 pm""]}]",,,,"https://www.google.com/maps/place/Subway/@1.3469363,103.6800539,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0f0ad0000001:0x27386d3f21653bf0!8m2!3d1.3469363!4d103.6800539!16s%2Fg%2F1tctzyk9?entry=ttu&g_ep=EgoyMDI2MDkwMS4wIKXMDSoASAFQAw%3D%3D",subway ntu north spine
V048,Thai Dynasty Express,North Spine Plaza,NS3-01-24,Thai,No,Not stated,"PH: Closed; School Term - Mon to Fri: 8.30am to 8.30pm; School Term - Sat, Sun & PH: 10.30am to 8.30pm; School Vacation - Mon to Sun: 10.30am to 7.30pm",ChIJs_cAYe8P2jERIkEck2-wGVA,Thai Dynasty Express,3.2,27,$1-10,"50 Nanyang Ave, NS3-01-24 Nanyang Technological University, North Spine, Plaza 639798",Thai restaurant,"[""Thai restaurant"",""Hawker Stall""]",https://www.dynastygroup.com.sg/thai-dynasty,,"[{""day"":""Monday"",""times"":[""8:30 am-8:30 pm""]},{""day"":""Tuesday"",""times"":[""8:30 am-8:30 pm""]},{""day"":""Wednesday"",""times"":[""8:30 am-8:30 pm""]},{""day"":""Thursday"",""times"":[""8:30 am-8:30 pm""]},{""day"":""Friday"",""times"":[""8:30 am-8:30 pm""]},{""day"":""Saturday"",""times"":[""10:30 am-8:30 pm""]},{""day"":""Sunday"",""times"":[""10:30 am-8:30 pm""]}]",,,,https://www.google.com/maps/place/Thai+Dynasty+Express/data=!4m7!3m6!1s0x31da0fef6100f7b3:0x5019b06f931c4122!8m2!3d1.3469416!4d103.6809058!16s%2Fg%2F11spmtbxl9!19sChIJs_cAYe8P2jERIkEck2-wGVA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,thai dynasty express ntu north spine
V049,The Crowded Bowl at North Spine,North Spine Plaza,NS3-01-18,Vegetarian / plant-based bowls,Not stated,Vegetarian / meat-free,Mon to Fri: 8am to 8pm; Sat: 8am to 5pm; Sun & PH: Closed,ChIJOeo7rRYP2jERfaGpD0hs2vE,The Crowded Bowl,3.9,75,,"76 Nanyang Dr, NS3-1-18 West Singapore, North Spine Plaza, Singapore 637331",Salad shop,"[""Salad shop"",""Restaurant""]",,,"[{""day"":""Monday"",""times"":[""8 am-8 pm""]},{""day"":""Tuesday"",""times"":[""8 am-8 pm""]},{""day"":""Wednesday"",""times"":[""8 am-8 pm""]},{""day"":""Thursday"",""times"":[""8 am-8 pm""]},{""day"":""Friday"",""times"":[""8 am-8 pm""]},{""day"":""Saturday"",""times"":[""8 am-5 pm""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/The+Crowded+Bowl/data=!4m7!3m6!1s0x31da0f16ad3bea39:0xf1da6c480fa9a17d!8m2!3d1.34729!4d103.6807359!16s%2Fg%2F11j4yg5vs8!19sChIJOeo7rRYP2jERfaGpD0hs2vE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,the crowded bowl north spine ntu
V050,The Crowded Bowl at Wee Cho Yaw Plaza,Wee Cho Yaw Plaza,ABS-01-013A,Vegetarian / plant-based bowls,Not stated,Vegetarian / meat-free,"School Term - Mon to Fri: 8.30am to 6.30pm; School Vacation - Mon to Fri: 8.30am to 4pm; Sat, Sun & PH: Closed",ChIJOeo7rRYP2jERfaGpD0hs2vE,The Crowded Bowl,3.9,75,,"76 Nanyang Dr, NS3-1-18 West Singapore, North Spine Plaza, Singapore 637331",Salad shop,"[""Salad shop"",""Restaurant""]",,,"[{""day"":""Monday"",""times"":[""8 am-8 pm""]},{""day"":""Tuesday"",""times"":[""8 am-8 pm""]},{""day"":""Wednesday"",""times"":[""8 am-8 pm""]},{""day"":""Thursday"",""times"":[""8 am-8 pm""]},{""day"":""Friday"",""times"":[""8 am-8 pm""]},{""day"":""Saturday"",""times"":[""8 am-5 pm""]},{""day"":""Sunday"",""times"":[""Closed""]}]",Same Google Maps listing as V049 (North Spine),,,https://www.google.com/maps/place/The+Crowded+Bowl/data=!4m7!3m6!1s0x31da0f16ad3bea39:0xf1da6c480fa9a17d!8m2!3d1.34729!4d103.6807359!16s%2Fg%2F11j4yg5vs8!19sChIJOeo7rRYP2jERfaGpD0hs2vE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,the crowded bowl north spine ntu
V051,The Soup Spoon Union,North Spine Plaza,NS3-01-14,Soups / Western casual dining,Yes â€” halal certified,Vegetarian option(s) available,"Mon to Fri: 11am to 8pm; Sat, Sun & PH: Closed",ChIJXwluwgoP2jERulXZRFj8fYY,The Soup Spoon Union NTU,4,88,$10-20,"50 Nanyang Ave, #01-14, Singapore 639798",Restaurant,"[""Restaurant"",""Halal restaurant"",""Hamburger restaurant"",""Meat dish restaurant"",""Salad shop"",""Soup restaurant"",""Soup shop""]",https://www.thesoupspoon.com/,,"[{""day"":""Monday"",""times"":[""11 am-8 pm""]},{""day"":""Tuesday"",""times"":[""11 am-8 pm""]},{""day"":""Wednesday"",""times"":[""11 am-8 pm""]},{""day"":""Thursday"",""times"":[""11 am-8 pm""]},{""day"":""Friday"",""times"":[""11 am-8 pm""]},{""day"":""Saturday"",""times"":[""Closed""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/The+Soup+Spoon+Union+NTU/data=!4m7!3m6!1s0x31da0f0ac26e095f:0x867dfc5844d955ba!8m2!3d1.3471227!4d103.6811829!16s%2Fg%2F11cm050t5y!19sChIJXwluwgoP2jERulXZRFj8fYY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,malay stall at south spine ntu nanyang auditorium
V052,Vending Machine Cafe @ SSC,Student Services Centre,SSC-01-02A,Vending food & beverages,Not stated,Not stated,Daily: 24-hour,,Vending Machine Cafe @ SSC,,,,Student Services Centre,,,,,,No Google Maps listing found,,,,
V053,Venture Drive Coffee at North Spine,North Spine Plaza,NS3-01-13,Coffee / cafÃ©,Not stated,Not stated,"School Term - Mon to Fri: 8am to 6pm; School Vacation - Mon to Fri: 8am to 4pm; Sat, Sun & PH: Closed",ChIJCQpJqugP2jEREeB4f6MuqPg,Venture Drive Coffee,4.4,59,$1-10,"50 Nanyang Ave, #01-13, Singapore 639798",Cafe,"[""Cafe""]",http://www.venturedrive.coffee/,,"[{""day"":""Monday"",""times"":[""8 am-4 pm""]},{""day"":""Tuesday"",""times"":[""8 am-4 pm""]},{""day"":""Wednesday"",""times"":[""8 am-4 pm""]},{""day"":""Thursday"",""times"":[""8 am-4 pm""]},{""day"":""Friday"",""times"":[""8 am-4 pm""]},{""day"":""Saturday"",""times"":[""Closed""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,"https://www.google.com/maps/place/Venture+Drive+Coffee/@1.3473784,103.6807043,17z/data=!3m1!4b1!4m6!3m5!1s0x31da0fe8aa490a09:0xf8a82ea37f78e011!8m2!3d1.3473784!4d103.6807043!16s%2Fg%2F11ny4kd76t?entry=ttu&g_ep=EgoyMDI2MDkwMS4wIKXMDSoASAFQAw%3D%3D",venture drive coffee north spine ntu
V054,Venture Drive Coffee at Wee Cho Yaw Plaza,Wee Cho Yaw Plaza,ABS-01-013B,Coffee / cafÃ©,Not stated,Not stated,"School Term - Mon to Fri: 8am to 6pm; School Vacation - Mon to Fri: 8am to 4pm; Sat, Sun & PH: Closed",,Venture Drive Coffee at Wee Cho Yaw Plaza,,,,Wee Cho Yaw Plaza,,,,,,No Google Maps listing found,,,,
V055,Wok Express,Koufu North Spine ,NS2.1-02-01/03,Chinese stir-fry,Not stated,Not stated,Mon to Fri: 9.30am to 8pm; Sat: 9.30am to 2pm; Sun & PH: Closed,,Wok Express,,,,Koufu North Spine ,,,,,,Closed / no longer operating,,,,
V056,Yew Kee Specialities,North Spine Plaza,NS3-01-23,Chinese braised dishes,No,Not stated,Mon to Fri: 10am to 7.30pm (last order); Sat: 10am to 3pm; Sun & PH: Closed,ChIJA4czoGYP2jER3MGyuh0GcIs,Yew Kee Specialities @ NTU North Spine Plaza,3.4,8,$1-10,"50 Nanyang Ave, NS3-01-23 North Spine, Singapore 639798",Restaurant,"[""Restaurant""]",https://ykgi.com.sg/tax_food_types/yew-kee-duck-rice/,6555 6992,"[{""day"":""Monday"",""times"":[""10 am-7:30 pm""]},{""day"":""Tuesday"",""times"":[""10 am-7:30 pm""]},{""day"":""Wednesday"",""times"":[""10 am-7:30 pm""]},{""day"":""Thursday"",""times"":[""10 am-7:30 pm""]},{""day"":""Friday"",""times"":[""10 am-7:30 pm""]},{""day"":""Saturday"",""times"":[""10 am-3 pm""]},{""day"":""Sunday"",""times"":[""Closed""]}]",,,,https://www.google.com/maps/place/Yew+Kee+Specialities+%40+NTU+North+Spine+Plaza/data=!4m7!3m6!1s0x31da0f66a0338703:0x8b70061dbab2c1dc!8m2!3d1.345229!4d103.6811665!16s%2Fg%2F11yhcpmvqj!19sChIJA4czoGYP2jER3MGyuh0GcIs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMS4wIJJjKgBIAVAD&rclk=1,yew kee specialities ntu north spine
